Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S112747133,Greylag Goose,Anser anser,259,5,GB-WLS,Anglesey,L1222413,Cemlyn NWWT NR,53.4069395,-4.5084972,11/06/2022,9:55 AM,eBird - Traveling Count,223,1,3.685,,2,,,,
S108887631,Greylag Goose,Anser anser,259,12,GB-SCT,Argyll and Bute,L6160280,Aros Estuary,56.5316606,-5.9694171,04/05/2022,10:12 AM,eBird - Traveling Count,38,1,1.45,,1,,,,
S108751777,Greylag Goose,Anser anser,259,2,GB-SCT,Argyll and Bute,L18814949,"B8035, Scotland, GB (56.478, -6.006)",56.4776301,-6.0056368,02/05/2022,11:29 AM,eBird - Stationary Count,41,1,,,16,,,,
S108446722,Greylag Goose,Anser anser,259,1,GB-SCT,Argyll and Bute,L4099038,Duart Castle,56.4568708,-5.6561673,30/04/2022,11:46 AM,eBird - Traveling Count,68,1,3.7,,1,,,,
S108571864,Greylag Goose,Anser anser,259,1,GB-SCT,Argyll and Bute,L7406601,Garmony,56.49643,-5.77589,01/05/2022,10:26 AM,eBird - Traveling Count,186,1,9.81,,1,,,From Fishnish to Garmony point,
S108830735,Greylag Goose,Anser anser,259,X,GB-SCT,Argyll and Bute,L1267006,Isle of Iona,56.3337172,-6.391983,03/05/2022,10:10 AM,eBird - Traveling Count,253,1,8,,1,,,,
S108439435,Greylag Goose,Anser anser,259,2,GB-SCT,Argyll and Bute,L3753666,Tobermory Harbour,56.6218201,-6.0693455,30/04/2022,7:27 AM,eBird - Traveling Count,49,1,4.9,,1,,,,
S108748944,Greylag Goose,Anser anser,259,1,GB-SCT,Argyll and Bute,L18750065,"Tobermory Lighthouse (56.631, -6.064)",56.6310425,-6.0635588,02/05/2022,7:22 PM,eBird - Traveling Count,85,1,4.15,,1,,,,
S122995831,Greylag Goose,Anser anser,259,123,GB-ENG,Cheshire,L1670162,Burton Mere Wetlands RSPB Reserve,53.2543484,-3.0309086,25/11/2022,9:57 AM,eBird - Traveling Count,384,1,4.44,,2,,,With Pete Hines,
S111931676,Greylag Goose,Anser anser,259,10,GB-ENG,Cheshire,L4559604,Delamere Forest and Blakemere Moss,53.2351551,-2.6747255,02/06/2022,8:56 AM,eBird - Traveling Count,128,1,4.85,,1,,,,
S111933851,Greylag Goose,Anser anser,259,1,GB-ENG,Cheshire,L11547467,Hatchmere CWT NR,53.2439622,-2.6708562,02/06/2022,11:08 AM,eBird - Traveling Count,50,1,2.05,,1,,,,
S65529853,Greylag Goose,Anser anser,259,99,GB-ENG,Lancashire,L1068485,Leighton Moss RSPB Reserve,54.1673452,-2.8013715,07/03/2020,10:52 AM,eBird - Traveling Count,140,1,3.219,,1,,,,
