"","common_name","Total"
"1","Canada Goose",155209
"2","Red-winged Blackbird",146135
"3","Tree Swallow",92044
"4","Dunlin",62462
"5","Purple Martin",58961
"6","Blue Jay",45318
"7","Yellow Warbler",42888
"8","Great Egret",40276
"9","Trumpeter Swan",37735
"10","Barn Swallow",23711
"11","Common Grackle",21874
"12","Double-crested Cormorant",21421
"13","American Robin",19207
"14","Great Blue Heron",15913
"15","Bald Eagle",15833
"16","Gray Catbird",15165
"17","European Starling",15083
"18","Mallard",12155
"19","Yellow-rumped Warbler",11900
"20","Killdeer",10744
"21","Northern Cardinal",10451
"22","Song Sparrow",9863
"23","Common Yellowthroat",8612
"24","Baltimore Oriole",8339
"25","House Wren",7809
"26","Warbling Vireo",7730
"27","American Goldfinch",7434
"28","American White Pelican",6513
"29","American Coot",6477
"30","Sandhill Crane",6396
"31","White-throated Sparrow",6205
"32","Brown-headed Cowbird",5855
"33","Palm Warbler",5543
"34","Turkey Vulture",5436
"35","Ruby-crowned Kinglet",4916
"36","Ring-billed Gull",4872
"37","American Redstart",4770
"38","Blue-gray Gnatcatcher",4768
"39","Eastern Kingbird",4473
"40","Lesser Yellowlegs",4350
"41","Wood Duck",4215
"42","Mourning Dove",4018
"43","Magnolia Warbler",3940
"44","Blue-winged Teal",3661
"45","Semipalmated Plover",3654
"46","Indigo Bunting",3330
"47","Bay-breasted Warbler",3282
"48","Marsh Wren",3218
"49","White-crowned Sparrow",2946
"50","Pied-billed Grebe",2917
"51","Chestnut-sided Warbler",2709
"52","Downy Woodpecker",2451
"53","Black-throated Green Warbler",2405
"54","Northern Parula",2324
"55","Nashville Warbler",2250
"56","Swainson's Thrush",2219
"57","Prothonotary Warbler",2177
"58","Northern Flicker",2151
"59","House Sparrow",2148
"60","Rose-breasted Grosbeak",2139
"61","Red-bellied Woodpecker",2118
"62","Black-throated Blue Warbler",2072
"63","Cape May Warbler",2010
"64","Tennessee Warbler",1999
"65","Gadwall",1950
"66","Common Tern",1908
"67","Greater Yellowlegs",1897
"68","Common Gallinule",1880
"69","Blackburnian Warbler",1804
"70","Red-eyed Vireo",1757
"71","Northern Rough-winged Swallow",1723
"72","Cedar Waxwing",1685
"73","Black-and-white Warbler",1662
"74","Black-capped Chickadee",1639
"75","Least Sandpiper",1633
"76","Great Crested Flycatcher",1615
"77","Herring Gull",1574
"78","Sora",1551
"79","Swamp Sparrow",1414
"80","Green Heron",1411
"81","Chimney Swift",1390
"82","Red-tailed Hawk",1352
"83","Snowy Egret",1327
"84","Bonaparte's Gull",1133
"85","Caspian Tern",1101
"86","Eastern Phoebe",1080
"87","Tufted Titmouse",1047
"88","Scarlet Tanager",1025
"89","Chipping Sparrow",1024
"90","White-breasted Nuthatch",1012
"91","Eastern Wood-Pewee",1001
"92","Cliff Swallow",995
"93","Willow Flycatcher",964
"94","Veery",949
"95","Blackpoll Warbler",916
"96","Red-headed Woodpecker",864
"97","Least Flycatcher",826
"98","Northern Shoveler",807
"99","Pectoral Sandpiper",800
"100","Forster's Tern",782
"101","American Golden-Plover",780
"102","Brown Thrasher",773
"103","Carolina Wren",762
"104","Wilson's Warbler",729
"105","Field Sparrow",707
"106","Ruby-throated Hummingbird",696
"107","Ovenbird",673
"108","Solitary Sandpiper",661
"109","Northern Waterthrush",657
"110","Red-breasted Nuthatch",656
"111","Blue-headed Vireo",654
"112","Spotted Sandpiper",638
"113","Wood Thrush",634
"114","American Crow",630
"115","Mute Swan",614
"116","Canada Warbler",611
"117","House Finch",596
"118","Semipalmated Sandpiper",563
"119","Short-billed Dowitcher",556
"120","Black-bellied Plover",500
"121","Eastern Screech-Owl",486
"122","Great Horned Owl",483
"123","Hermit Thrush",473
"124","American Wigeon",449
"125","Green-winged Teal",446
"126","American Woodcock",416
"127","Hooded Merganser",376
"128","Lincoln's Sparrow",375
"129","Bank Swallow",358
"130","Orchard Oriole",355
"131","Osprey",349
"132","Cooper's Hawk",320
"133","Philadelphia Vireo",319
"134","Mourning Warbler",307
"135","Hairy Woodpecker",280
"136","Common Nighthawk",274
"137","American Pipit",273
"138","Rusty Blackbird",262
"139","Blue-winged Warbler",256
"140","Ruddy Duck",251
"141","Eastern Bluebird",235
"142","Eastern Towhee",235
"143","Virginia Rail",231
"144","Eastern Whip-poor-will",214
"145","Pine Warbler",214
"146","Gray-cheeked Thrush",212
"147","American Kestrel",199
"148","Black-billed Cuckoo",193
"149","Yellow-bellied Flycatcher",192
"150","Eastern Meadowlark",191
"151","Alder Flycatcher",181
"152","Horned Lark",179
"153","Black-necked Stilt",178
"154","Northern Pintail",178
"155","Belted Kingfisher",171
"156","White-eyed Vireo",170
"157","Yellow-billed Cuckoo",157
"158","Yellow-throated Vireo",150
"159","Lesser Scaup",148
"160","Black-crowned Night Heron",140
"161","Sharp-shinned Hawk",140
"162","Northern Harrier",134
"163","Savannah Sparrow",132
"164","Broad-winged Hawk",129
"165","Hooded Warbler",127
"166","Henslow's Sparrow",102
"167","Long-billed Dowitcher",102
"168","Northern Mockingbird",97
"169","Orange-crowned Warbler",92
"170","Ring-necked Duck",88
"171","Purple Finch",76
"172","Acadian Flycatcher",68
"173","Bufflehead",67
"174","Wilson's Snipe",67
"175","Yellow-bellied Sapsucker",63
"176","Rock Pigeon",61
"177","American Black Duck",57
"178","Golden-winged Warbler",54
"179","Least Bittern",54
"180","Marbled Godwit",50
"181","Olive-sided Flycatcher",49
"182","Winter Wren",46
"183","Red-shouldered Hawk",45
"184","Red-breasted Merganser",44
"185","Sedge Wren",42
"186","Summer Tanager",42
"187","American Bittern",41
"188","Brown Creeper",40
"189","Pine Siskin",40
"190","Willet",40
"191","Golden-crowned Kinglet",39
"192","Peregrine Falcon",38
"193","Black Tern",35
"194","Redhead",34
"195","Yellow-breasted Chat",34
"196","Horned Grebe",31
"197","Wild Turkey",31
"198","Common Merganser",29
"199","Western Cattle Egret",29
"200","Cerulean Warbler",27
"201","Connecticut Warbler",27
"202","Dark-eyed Junco",26
"203","Bobolink",24
"204","Worm-eating Warbler",23
"205","Clay-colored Sparrow",22
"206","Wilson's Phalarope",22
"207","Grasshopper Sparrow",21
"208","Sanderling",21
"209","American Tree Sparrow",20
"210","Ruddy Turnstone",20
"211","White-rumped Sandpiper",20
"212","Prairie Warbler",19
"213","Neotropic Cormorant",17
"214","Swainson's Hawk",17
"215","Common Loon",16
"216","Merlin",16
"217","Pileated Woodpecker",16
"218","Yellow-headed Blackbird",13
"219","Snow Goose",11
"220","Kirtland's Warbler",8
"221","Red-necked Phalarope",8
"222","Blue Grosbeak",6
"223","Dickcissel",5
"224","Glossy Ibis",5
"225","Graylag Goose",5
"226","Rough-legged Hawk",5
"227","Fox Sparrow",4
"228","Kentucky Warbler",4
"229","Ring-necked Pheasant",4
"230","Canvasback",3
"231","Common Goldeneye",3
"232","Louisiana Waterthrush",3
"233","Western Meadowlark",3
"234","Barn Owl",2
"235","Curlew Sandpiper",2
"236","Evening Grosbeak",2
"237","Lark Sparrow",2
"238","Vesper Sparrow",2
"239","American Avocet",1
"240","Barred Owl",1
"241","Bell's Vireo",1
"242","Franklin's Gull",1
"243","Great Black-backed Gull",1
"244","Lapland Longspur",1
"245","Lesser Black-backed Gull",1
"246","Nelson's Sparrow",1
"247","Yellow-throated Warbler",1
