"","common_name","Total"
"1","Bell's Vireo",1
"2","Golden-winged x Blue-winged Warbler (hybrid)",1
"3","House/Purple Finch",1
"4","Laughing Gull",1
"5","Muscovy Duck x Mallard (hybrid)",1
"6","Red-legged Partridge",1
"7","Whimbrel",1
"8","Barn Owl",2
"9","Curlew Sandpiper",2
"10","Lesser Black-backed Gull",2
"11","Yellow-throated Warbler",2
"12","Evening Grosbeak",3
"13","Barred Owl",4
"14","Brewster's Warbler (hybrid)",4
"15","Horned/Eared Grebe",4
"16","Louisiana Waterthrush",4
"17","Mallard x American Black Duck (hybrid)",4
"18","Western Meadowlark",4
"19","Common Goldeneye",5
"20","Northern Bobwhite",6
"21","American Avocet",7
"22","Fox Sparrow",7
"23","Graylag Goose",8
"24","Red-necked Phalarope",8
"25","Stilt Sandpiper",8
"26","Rough-legged Hawk",9
"27","Black Vulture",10
"28","Lark Sparrow",10
"29","Blue Grosbeak",11
"30","Sharp-shinned/Cooper's Hawk",11
"31","Canvasback",12
"32","Kentucky Warbler",12
"33","Common/Red-breasted Merganser",14
"34","Franklin's Gull",15
"35","King Rail",16
"36","Snow Goose",17
"37","Yellow-billed/Black-billed Cuckoo",18
"38","Yellow-headed Blackbird",19
"39","Pileated Woodpecker",20
"40","Louisiana/Northern Waterthrush",22
"41","Dickcissel",26
"42","Sanderling",26
"43","Swainson's Hawk",29
"44","American Tree Sparrow",31
"45","Neotropic Cormorant",31
"46","Greater Scaup",32
"47","Prairie Warbler",33
"48","Ring-necked Pheasant",33
"49","Ruby-crowned/Golden-crowned Kinglet",35
"50","Worm-eating Warbler",35
"51","Downy/Hairy Woodpecker",37
"52","Grasshopper Sparrow",37
"53","Western Cattle Egret",42
"54","Merlin",44
"55","Wild Turkey",44
"56","Clay-colored Sparrow",45
"57","Kirtland's Warbler",45
"58","Connecticut Warbler",48
"59","White-rumped Sandpiper",50
"60","Great Black-backed Gull",51
"61","Dark-eyed Junco",53
"62","Golden-crowned Kinglet",54
"63","Bobolink",58
"64","Cerulean Warbler",58
"65","Glossy/White-faced Ibis",59
"66","Olive-sided Flycatcher",66
"67","Black Tern",67
"68","Redhead",67
"69","Wilson's Phalarope",67
"70","Yellow-breasted Chat",67
"71","Common Loon",72
"72","Horned Grebe",72
"73","Pine Siskin",74
